Country,State,City,Lat,Log
China,Jiangxi,Ji’an,27.0912,114.9668
China,Jiangsu,Yangzhou,32.3944,119.4128
China,Yunnan,Kunming,25.0464,102.7094
China,Jilin,Changchun,43.897,125.326
China,Anhui,Lu’an,31.736,116.52
China,Jiangsu,Xinpu,34.5966,119.2214
China,Hebei,Langfang,39.5383,116.6835
United States,Massachusetts,Boston,42.3188,-71.0852
China,Xinjiang,Ürümqi,43.8225,87.6125
China,Jiangsu,Suzhou,31.3,120.6194
China,Guangxi,Guigang,23.112,109.599
China,Guangdong,Shantou,23.354,116.682
China,Henan,Jiangguanchi,34.037,113.852
Afghanistan,Kābul,Kabul,34.5253,69.1783
China,Hubei,Xiaoganzhan,30.918,113.957
Mali,Bamako,Bamako,12.6458,-7.9922
Nigeria,Kano,Kano,12,8.5167
China,Sichuan,Luzhou,28.871,105.442
China,Anhui,Hefei,31.8206,117.2273
China,Hebei,Hengshui,37.739,115.669
Brazil,Ceará,Fortaleza,-3.7275,-38.5275
China,Anhui,Anqing,30.5318,117.1153
China,Hebei,Zhangjiakou,40.769,114.886
China,Guangdong,Zhaoqing,23.05,112.4667
China,Hebei,Shijiazhuang,38.0425,114.51
China,Zhejiang,Ningbo,29.8603,121.6245
China,Heilongjiang,Qiqihar,47.3549,123.9182
United States,Arizona,Phoenix,33.5722,-112.0892
China,Guangxi,Liuzhou,24.3278,109.4278
China,Inner Mongolia,Chifeng,42.255,118.8825
China,Hubei,Xiaoxita,30.692,111.287
Jordan,Al ‘Āşimah,Amman,31.9497,35.9328
China,Shanxi,Linfen,36.088,111.519
China,Shaanxi,Xianyang,34.3299,108.7088
China,Anhui,Chuzhou,32.256,118.333
Ghana,Ashanti,Kumasi,6.7,-1.625
China,Hunan,Zhuzhou,27.829,113.133
China,Shanxi,Taiyuan,37.8704,112.5497
China,Guangdong,Qingyuan,23.682,113.056
China,Guangdong,Meizhou,24.289,116.122
China,Hunan,Yiyang,28.5549,112.356
China,Guangxi,Nanning,22.8167,108.3275
China,Heilongjiang,Harbin,45.7576,126.6409
China,Hunan,Loudi,27.6998,111.9944
Nigeria,Federal Capital Territory,Abuja,9.0667,7.4833
Japan,Kanagawa,Yokohama,35.4442,139.6381
China,Heilongjiang,Suihua,46.654,126.969
China,Shandong,Binzhou,37.383,117.971
China,Shandong,Zaozhuang,34.8109,117.3238
United States,Michigan,Detroit,42.3834,-83.1024
China,Fujian,Xiamen,24.4796,118.0889
Iran,Khorāsān-e Raẕavī,Mashhad,36.3264,59.5433
Canada,Quebec,Montréal,45.5089,-73.5617
China,Fujian,Fuzhou,26.0743,119.2964
China,Anhui,Wuhu,31.3526,118.4331
Indonesia,Sumatera Utara,Medan,3.5894,98.6739
China,Shaanxi,Yulinshi,38.2858,109.7341
China,Jiangxi,Fuzhou,27.949,116.358
China,Zhejiang,Wenzhou,27.9938,120.6993
China,Jiangsu,Changzhou,31.811,119.974
China,Henan,Puyang,35.7627,115.0292
China,Jiangxi,Nanchang,28.683,115.858
China,Guangxi,Baicheng,23.903,106.619
United States,Washington,Seattle,47.6211,-122.3244
Nigeria,Oyo,Ibadan,7.3964,3.9167
China,Henan,Jiaozuo,35.2157,113.2419
India,Tamil Nādu,Nādampālaiyam,11.0125,76.9714
China,Sichuan,Deyang,31.127,104.398
"Korea, South",Busan,Busan,35.18,129.075
China,Guangxi,Hechi,24.693,108.085
China,Hebei,Tangshan,39.6294,118.1739
India,Uttar Pradesh,Lucknow,26.85,80.95
United States,California,San Francisco,37.7558,-122.4449
Ghana,Ashanti,Boankra,6.6919,-1.4051
United Arab Emirates,Dubayy,Dubai,25.2631,55.2972
China,Liaoning,Anshan,41.108,122.994
China,Shaanxi,Guozhen,34.3609,107.1751
China,Shaanxi,Baojishi,34.363,107.238
China,Guangxi,Qinzhou,21.981,108.654
China,Guizhou,Guiyang,26.647,106.63
China,Jiangsu,Wuxi,31.5667,120.2833
India,Kerala,Kannankulam,10.52,76.21
Venezuela,Distrito Capital,Caracas,10.4806,-66.9036
Pakistan,Punjab,Kotla Qasim Khan,32.5833,73.75
Morocco,Casablanca-Settat,Casablanca,33.5333,-7.5833
China,Shaanxi,Hanzhong,33.0664,107.0232
China,Hubei,Shiyan,32.629,110.7987
China,Sichuan,Guang’an,30.4564,106.6326
Pakistan,Punjab,Faisalabad,31.4167,73.0911
China,Shanxi,Changzhi,36.195,113.117
China,Guizhou,Tongren,27.7316,109.1895
China,Anhui,Bengbu,32.917,117.389
China,Sichuan,Leshan,29.552,103.766
Bolivia,Santa Cruz,Santa Cruz de la Sierra,-17.7892,-63.1975
China,Sichuan,Neijiang,29.5802,105.058
China,Jiangsu,Zhenjiang,32.188,119.424
China,Hebei,Qinhuangdao,39.8882,119.5202
Turkey,Bursa,Bursa,40.1833,29.05
Uzbekistan,Toshkent,Tashkent,41.3111,69.2797
Ecuador,Guayas,Guayaquil,-2.19,-79.8875
India,Rājasthān,Jaipur,26.9,75.8
China,Gansu,Lanzhou,36.0606,103.8268
Burkina Faso,Centre,Ouagadougou,12.3686,-1.5275
Greece,Attikí,Athens,37.9842,23.7281
United States,California,San Diego,32.8313,-117.1222
Guatemala,Guatemala,Guatemala City,14.6417,-90.5133
Kuwait,Al ‘Āşimah,Kuwait City,29.3697,47.9783
China,Gansu,Qincheng,34.5815,105.7248
Turkey,İzmir,İzmir,38.42,27.14
Philippines,Quezon,Quezon City,14.65,121.0475
Ukraine,"Kyiv, Misto",Kyiv,50.45,30.5233
India,Kerala,Kottārasshēri,10.775,76.651
China,Sichuan,Meishan,30.0771,103.8484
"Korea, South",Incheon,Incheon,37.4833,126.6333
China,Fujian,Ningde,26.6662,119.5477
China,Guangdong,Zhongshan,22.517,113.3925
United States,Minnesota,Minneapolis,44.9635,-93.2678
United States,Florida,Tampa,27.9945,-82.4447
China,Fujian,Putian,25.4526,119.0078
Congo (Kinshasa),Kasaï Oriental,Mbuji-Mayi,-6.15,23.6
China,Inner Mongolia,Tongliao,43.654,122.243
China,Liaoning,Chaoyang,41.571,120.453
China,Inner Mongolia,Hohhot,40.842,111.749
"Korea, North",P’yŏngyang,Pyongyang,39.0167,125.7475
China,Guangdong,Shaoguan,24.811,113.597
Taiwan,Taichung,Taichung,24.1439,120.6794
Colombia,Valle del Cauca,Cali,3.4206,-76.5222
China,Guangdong,Heyuan,23.7443,114.7002
China,Guangxi,Wuzhou,23.4767,111.279
South Africa,Gauteng,Pretoria,-25.7461,28.1881
China,Sichuan,Suining,30.533,105.593
Sudan,Khartoum,Omdurman,15.6835,32.4629
China,Shandong,Weihai,37.5133,122.1205
China,Shandong,Rizhao,35.417,119.527
Indonesia,Jawa Timur,Malang,-7.98,112.62
Germany,Baden-Württemberg,Stuttgart,48.7775,9.18
China,Heilongjiang,Daqing,46.589,125.104
Italy,Lazio,Rome,41.8931,12.4828
Taiwan,Kaohsiung,Kaohsiung,22.615,120.2975
United States,New York,Brooklyn,40.6501,-73.9496
China,Hunan,Xiangtan,27.8313,112.9454
China,Sichuan,Bazhou,31.868,106.748
China,Hebei,Handan,36.601,114.487
Australia,Queensland,Brisbane,-27.4678,153.0281
China,Liaoning,Jinzhou,41.129,121.148
United States,Colorado,Denver,39.762,-104.8758
China,Shanxi,Xinzhou,38.416,112.734
China,Fujian,Nanping,26.6418,118.1774
Bangladesh,Dhaka,Gāzipura,23.9234,90.3959
China,Guangdong,Shanwei,22.7872,115.3756
Venezuela,Zulia,Maracaibo,10.6333,-71.6333
China,Guangdong,Chaozhou,23.658,116.622
China,Inner Mongolia,Baotou,40.6213,109.9532
China,Fujian,Longyan,25.076,117.017
China,Shandong,Weifang,36.708,119.162
China,Jiangsu,Huai’an,33.551,119.113
China,Shandong,Zibo,36.8138,118.055
India,Kerala,Attadappa,11.8689,75.3555
Germany,Bavaria,Munich,48.1375,11.575
China,Fujian,Gulou,26.0865,119.298
United Kingdom,Birmingham,Birmingham,52.48,-1.9025
Venezuela,Carabobo,Valencia,10.1833,-68
Syria,Dimashq,Damascus,33.502,36.2981
Bangladesh,Chattogram,Chattogram,22.335,91.8325
Congo (Brazzaville),Brazzaville,Brazzaville,-4.2667,15.2667
China,Guangdong,Yangjiang,21.857,111.983
Yemen,Amānat al ‘Āşimah,Sanaa,15.3483,44.2064
India,Madhya Pradesh,Barmhān Kalān,19.1972,72.9722
Colombia,Antioquia,Medellín,6.2308,-75.5906
China,Gansu,Dingxi,35.608,104.592
China,Zhejiang,Shaoxing,30.0511,120.5833
China,Shandong,Yantai,37.4646,121.4478
China,Guangdong,Huizhou,23.112,114.416
China,Anhui,Xuanzhou,30.939,118.759
India,Uttar Pradesh,Mirzāpur,25.146,82.569
Germany,Hamburg,Hamburg,53.55,10
Taiwan,Taipei,Taipei,25.0375,121.5625
China,Shaanxi,Ankang,32.6854,109.029
China,Sichuan,Zigong,29.339,104.779
China,Fujian,Sanming,26.2634,117.6389
Mexico,México,Toluca,19.2925,-99.6569
China,Hubei,Huangshi,30.2011,115.039
Cameroon,Centre,Yaoundé,3.8667,11.5167
China,Guangdong,Zhuhai,22.2742,113.5719
China,Liaoning,Huludao,40.711,120.837
China,Yunnan,Baoshan,25.112,99.161
Saudi Arabia,Makkah al Mukarramah,Mecca,21.4225,39.8261
Canada,British Columbia,Vancouver,49.25,-123.1
China,Liaoning,Lianshan,40.7523,120.828
Lebanon,Beyrouth,Beirut,33.8981,35.5058
Brazil,Bahia,Salvador,-12.9831,-38.4928
Romania,Bucureşti,Bucharest,44.4325,26.1039
China,Gansu,Longba,33.3702,104.9603
India,Mahārāshtra,Nāgpur,21.1497,79.0806
United States,New York,Queens,40.7498,-73.7976
China,Liaoning,Tieling,42.2237,123.726
China,Guangdong,Yunfu,22.9152,112.0445
Indonesia,Jawa Barat,Bekasi,-6.2333,107
"Korea, South",Daegu,Daegu,35.8717,128.6017
India,Uttar Pradesh,Ghāziābād,28.67,77.42
China,Henan,Luoyang,34.6197,112.4539
China,Henan,Luohe,33.5804,114.0166
Algeria,Alger,Algiers,36.7325,3.0872
China,Guizhou,Anshun,26.2531,105.9476
China,Anhui,Huainan,32.6314,117.0194
Indonesia,Jawa Barat,Depok,-6.394,106.8225
Turkey,Konya,Konya,37.8667,32.4833
Vietnam,Hải Phòng,Haiphong,20.8651,106.6838
China,Sichuan,Yanjiang,30.129,104.627
China,Sichuan,Guangyuan,32.436,105.844
Azerbaijan,Bakı,Baku,40.3667,49.8352
China,Liaoning,Yingkou,40.625,122.219
China,Heilongjiang,Mudanjiang,44.5514,129.6329
United States,California,Riverside,33.9381,-117.3949
Japan,Fukuoka,Fukuoka,33.59,130.4017
China,Jiangsu,Nantong,31.981,120.894
China,Yunnan,Lincang,23.884,100.089
United States,Nevada,Las Vegas,36.2333,-115.2654
China,Hainan,Haikou,20.0186,110.3488
China,Yunnan,Yuxi,24.347,102.527
Indonesia,Jawa Barat,Tangerang,-6.1703,106.6403
India,Bihār,Supaul,26.126,86.605
Kazakhstan,Almaty,Almaty,43.24,76.915
Austria,Wien,Vienna,48.2083,16.3725
Iran,Eşfahān,Eşfahān,32.6653,51.6703
China,Qinghai,Xining,36.6224,101.7804
China,Shanxi,Jincheng,35.491,112.852
United States,Maryland,Baltimore,39.3051,-76.6144
China,Liaoning,Dandong,40.1167,124.3833
China,Shaanxi,Yan’an,36.65,109.494
China,Gansu,Qinbaling,35.7091,107.6436
China,Sichuan,Gaoping,30.7824,106.1281
Nigeria,Anambra,Awka,6.2069,7.0678
China,Zhejiang,Taizhou,28.6557,121.4208
China,Anhui,Ma’anshan,31.669,118.507
China,Heilongjiang,Jiamusi,46.8,130.319
Australia,Western Australia,Perth,-31.9558,115.8597
Turkey,Gaziantep,Gaziantep,37.0628,37.3792
Cambodia,Phnom Penh,Phnom Penh,11.5696,104.921
United States,Missouri,St. Louis,38.6359,-90.2451
Somalia,Banaadir,Mogadishu,2.0392,45.3419
China,Zhejiang,Lishui,28.468,119.923
Hong Kong,,Kowloon,22.3167,114.1833
Argentina,Córdoba,Córdoba,-31.4167,-64.1833
Philippines,Zamboanga,Zamboanga City,6.9042,122.0761
Pakistan,Punjab,Rawalpindi,33.6,73.0333
Cuba,La Habana,Havana,23.1367,-82.3589
China,Guangxi,Chongzuo,22.377,107.365
United States,Oregon,Portland,45.5371,-122.65
China,Guangxi,Laibin,23.7501,109.2212
United States,Texas,San Antonio,29.4632,-98.5238
India,Gujarāt,Vadodara,22.3,73.2
China,Fujian,Qingyang,24.7816,118.5517
India,Gujarāt,Rājkot,22.3,70.7833
China,Shaanxi,Shangzhou,33.8734,109.9186
India,Andhra Pradesh,Vishākhapatnam,17.7042,83.2978
China,Shandong,Shengli,37.434,118.6746
China,Henan,Sanmenxia,34.7732,111.2004
Poland,Mazowieckie,Warsaw,52.23,21.0111
Pakistan,Punjab,Gujranwala,32.1567,74.19
China,Guangxi,Hezhou,24.4042,111.5672
Syria,Ḩalab,Aleppo,36.2319,37.1681
Mexico,Baja California,Tijuana,32.525,-117.0333
China,Guangdong,Puning,23.298,116.166
India,Madhya Pradesh,Indore,22.7167,75.8472
Belarus,Minsk,Minsk,53.9006,27.5586
Iran,Alborz,Karaj,35.8292,50.9675
Congo (Kinshasa),Kasaï Central,Kananga,-5.897,22.4488
China,Anhui,Huaibei,33.956,116.798
Pakistan,Khyber Pakhtunkhwa,Peshawar,34.0144,71.5675
United States,California,Sacramento,38.5677,-121.4685
Japan,Hokkaidō,Sapporo,43.0619,141.3544
Netherlands,Noord-Brabant,Tilburg,51.5572,5.0911
United States,Texas,Austin,30.3005,-97.7522
United States,Florida,Orlando,28.4773,-81.337
Philippines,Davao,Davao,7.07,125.6
China,Shanghai,Songjiang,31.0058,121.2333
China,Ningxia,Yinchuan,38.485,106.225
India,Haryāna,Abhepur,39.41,116.38
India,Mahārāshtra,Thāne,19.1972,72.9722
Pakistan,Punjab,Multan,30.1978,71.4697
Nigeria,Rivers,Port Harcourt,4.8242,7.0336
China,Liaoning,Fushun,41.881,123.957
Taiwan,Tainan,Tainan,22.9833,120.1833
China,Gansu,Pingliang,35.5424,106.6649
China,Jilin,Siping,43.1668,124.3506
Puerto Rico,Puerto Rico,San Juan,18.3985,-66.061
China,Jiangxi,Pingxiang,27.659,113.887
India,Madhya Pradesh,Bhopāl,23.2599,77.4126
Iraq,Nīnawá,Mosul,36.3667,43.1167
Turkey,Diyarbakır,Diyarbakır,37.91,40.24
Congo (Kinshasa),Haut-Katanga,Lubumbashi,-11.6647,27.4794
Nigeria,Edo,Benin City,6.3333,5.6222
Brazil,Paraná,Curitiba,-25.4297,-49.2719
United States,California,San Jose,37.3012,-121.848
China,Jiangsu,Shuyangzha,34.1299,118.7734
Turkey,Adana,Adana,37,35.3213
Ecuador,Pichincha,Quito,-0.22,-78.5125
India,Uttar Pradesh,Āgra,27.18,78.02
India,Tamil Nādu,Peyanvilai,8.9,77.9833
Zambia,Lusaka,Lusaka,-15.4167,28.2833
United States,Indiana,Indianapolis,39.7771,-86.1458
Pakistan,Sindh,Hyderabad City,25.3792,68.3683
India,Mahārāshtra,Pimpri-Chinchwad,18.6186,73.8037
Venezuela,Aragua,Maracay,10.2469,-67.5961
Oman,Masqaţ,Masqaţ,23.614,58.5911
Uruguay,Montevideo,Montevideo,-34.9056,-56.1842
United States,Pennsylvania,Pittsburgh,40.4397,-79.9763
United States,Ohio,Cincinnati,39.1413,-84.506
United States,New York,Manhattan,40.7834,-73.9662
United States,Missouri,Kansas City,39.1238,-94.5541
Hungary,Budapest,Budapest,47.4983,19.0408
India,Bihār,Patna,25.594,85.1376
Uganda,Kampala,Kampala,0.3136,32.5811
China,Guangxi,Beihai,21.481,109.12
China,Chongqing,Sanzhou,30.82,108.4
United States,Ohio,Cleveland,41.4764,-81.6805
Guinea,Conakry,Conakry,9.5092,-13.7122
China,Fujian,Ximeicun,24.9612,118.3849
Philippines,Caloocan,Caloocan City,14.65,120.97
Mexico,México,Ecatepec,19.6097,-99.06
China,Jiangsu,Yushan,31.322,120.985
China,Liaoning,Fuxin,42.022,121.67
Russia,Novosibirskaya Oblast’,Novosibirsk,55.05,82.95
India,Chhattīsgarh,Bilāspur,22.09,82.15
Indonesia,Jawa Tengah,Semarang,-6.99,110.4225
China,Jiangxi,Jingdezhen,29.2917,117.1986
India,Punjab,Ludhiāna,30.91,75.85
China,Liaoning,Liaoyang,41.279,123.176
China,Jiangsu,Jiangyin,31.839,120.295
Spain,Valencia,Valencia,39.47,-0.3764
China,Shanxi,Shuozhou,39.3317,112.4329
Mexico,Guanajuato,León de los Aldama,21.1167,-101.6833
United States,Ohio,Columbus,39.9862,-82.9855
Mexico,Puebla,Puebla,19.0333,-98.1833
Vietnam,Đồng Nai,Biên Hòa,10.95,106.8167
China,Shandong,Chengtangcun,35.0833,117.15
Côte d’Ivoire,Abidjan,Yopougon,5.3748,-4.0867
China,Henan,Hebi,35.748,114.297
Iran,Fārs,Shīrāz,29.61,52.5425
Tajikistan,Dushanbe,Dushanbe,38.5367,68.78
India,Tamil Nādu,Madurai,9.9252,78.1198
China,Zhejiang,Huzhou,30.8925,120.0875
Zimbabwe,Harare,Harare,-17.8292,31.0522
Iran,Āz̄arbāyjān-e Sharqī,Tabrīz,38.0817,46.2992
India,Jhārkhand,Jamshedpur,22.7925,86.1842
China,Jilin,Baicheng,45.62,122.838
Costa Rica,San José,San José,9.9325,-84.08
China,Jiangsu,Shaoyang,32.912,119.8526
El Salvador,San Salvador,San Salvador,13.6989,-89.1914
Indonesia,Sumatera Selatan,Palembang,-2.9861,104.7556
Japan,Kanagawa,Kawasaki,35.5167,139.7
Japan,Hyōgo,Kōbe,34.69,135.1956
China,Zhejiang,Jiaxing,30.747,120.756
China,Hunan,Zhangjiajie,29.117,110.479
China,Gansu,Baiyin,36.5451,104.1389
China,Guangxi,Guiping,23.4,110.0833
China,Jiangsu,Changshu,31.656,120.753
China,Heilongjiang,Jixi,45.295,130.969
China,Zhejiang,Xushan,30.1667,121.2333
Togo,Maritime,Lomé,6.1308,1.2153
Niger,Niamey,Niamey,13.515,2.1175
"Korea, South",Gwangju,Gwangju,35.1653,126.8486
Brazil,Pernambuco,Recife,-8.0539,-34.8808
India,Mahārāshtra,Nāsik,19.9975,73.7898
United Arab Emirates,Abū Z̧aby,Abu Dhabi,24.4667,54.3667
Nigeria,Anambra,Onitsha,6.1667,6.7833
Netherlands,Noord-Holland,Amsterdam,52.3728,4.8936
India,Andhra Pradesh,Vijayavāda,16.5193,80.6305
Mexico,Jalisco,Zapopan,20.7167,-103.4
"Korea, South",Daejeon,Daejeon,36.35,127.385
United States,New York,Bronx,40.8501,-73.8662
New Zealand,Auckland,Auckland,-36.8492,174.7653
Russia,Sverdlovskaya Oblast’,Yekaterinburg,56.8356,60.6128
China,Gansu,Wuwei,37.929,102.638
China,Zhejiang,Jinhua,29.079,119.647
Japan,Kyōto,Kyōto,35.0117,135.7683
China,Jiangsu,Pizhou,34.398,117.89
China,Jiangsu,Yangshe,31.8767,120.556
Senegal,Dakar,Dakar,14.6726,-17.432
United States,North Carolina,Charlotte,35.2083,-80.8303
China,Sichuan,Yucheng,30.01,103.0415
Turkey,Kayseri,Kayseri,38.7225,35.4875
United States,Virginia,Virginia Beach,36.7335,-76.0435
China,Zhejiang,Rui’an,27.7833,120.625
Oman,Masqaţ,Muscat,23.6139,58.5922
Ukraine,Kharkivska Oblast,Kharkiv,49.9925,36.2311
Congo (Brazzaville),Pointe-Noire,Pointe-Noire,-4.7975,11.8503
Saudi Arabia,Al Madīnah al Munawwarah,Medina,24.47,39.61
Indonesia,Jawa Barat,Sangereng,-6.2889,106.7181
India,Haryāna,Farīdābād,28.4211,77.3078
Bulgaria,Sofia-Grad,Sofia,42.6979,23.3217
Mongolia,Ulaanbaatar,Ulaanbaatar,47.9214,106.9055
Australia,South Australia,Adelaide,-34.9275,138.6
Czechia,Praha,Prague,50.0875,14.4214
China,Zhejiang,Wenling,28.3667,121.3667
Denmark,Hovedstaden,Copenhagen,55.6805,12.5615
India,Delhi,Najafgarh,28.6125,76.9847
China,Guangdong,Lianjiang,21.7333,110.2833
Finland,Uusimaa,Helsinki,60.1708,24.9375
